elapsed_days,departure_time_unix,arrival_time_unix,duration_in_seconds,total_distance,duration_hours,duration_minutes,departure_year,departure_month,departure_day,departure_hour,departure_minute,departure_second,departure_timezone,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute,arrival_second,arrival_timezone,flight_id
0,1656864180,1656878880,14700,1641,6,6,2022,7,3,9,3,0,7.0,2022,7,3,15,8,0,5.0,14189
0,1656933840,1656949980,16140,1905,6,10,2022,7,4,7,24,0,4.0,2022,7,4,8,53,0,7.0,14190
0,1656938100,1656949200,11100,1142,3,5,2022,7,4,8,35,0,4.0,2022,7,4,9,40,0,6.0,14191
0,1656978600,1656989640,11040,1207,3,47,2022,7,4,17,50,0,6.0,2022,7,4,22,54,0,4.0,14192
0,1656932400,1656943140,10740,1104,5,12,2022,7,4,7,0,0,4.0,2022,7,4,9,59,0,4.0,14193
0,1656936600,1656944160,7560,667,3,20,2022,7,4,8,10,0,4.0,2022,7,4,10,16,0,4.0,14194
0,1656953400,1656961500,8100,725,3,34,2022,7,4,12,50,0,4.0,2022,7,4,14,5,0,5.0,14195
0,1657031400,1657037760,6360,406,2,35,2022,7,5,10,30,0,4.0,2022,7,5,12,16,0,4.0,14196
0,1657043220,1657048560,5340,327,2,10,2022,7,5,13,47,0,4.0,2022,7,5,15,16,0,4.0,14197
0,1657022400,1657031520,9120,799,3,4,2022,7,5,7,0,0,5.0,2022,7,5,9,32,0,5.0,14198
0,1657061940,1657073760,11820,1177,5,8,2022,7,5,18,59,0,4.0,2022,7,5,21,16,0,5.0,14199
0,1657047600,1657052460,4860,221,2,7,2022,7,5,15,0,0,4.0,2022,7,5,16,21,0,4.0,14200
0,1657143600,1657160400,16800,1847,7,49,2022,7,6,16,40,0,5.0,2022,7,6,19,20,0,7.0,14201
0,1657119540,1657127100,7560,592,3,31,2022,7,6,10,59,0,4.0,2022,7,6,12,5,0,5.0,14202
0,1657119900,1657131780,11880,1104,4,38,2022,7,6,11,5,0,4.0,2022,7,6,14,23,0,4.0,14203
0,1657105200,1657112220,7020,485,2,44,2022,7,6,7,0,0,4.0,2022,7,6,8,57,0,4.0,14204
