Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database time zone,Type,airport_id
Brilon/Hochsauerlandkreis Airfield,Brilon,Germany,\N,EDKO,51.4025,8.641667,1509,1.0,E,Europe/Berlin,airport,5950
Hameln-Pyrmont Airport,Bad Pyrmont,Germany,\N,EDVW,51.96666717529297,9.291666984558104,1178,1.0,E,Europe/Berlin,airport,5951
Nordholz-Spieka Airfield,Cuxhaven,Germany,\N,EDXN,53.767223,8.643611,72,1.0,E,Europe/Berlin,airport,5952
Köthen Airport,Koethen,Germany,KOQ,EDCK,51.7211112976,11.9527778625,305,1.0,E,Europe/Berlin,airport,5953
St. Michaelisdonn Airport,Sankt Michaelisdonn,Germany,\N,EDXM,53.97805786132813,9.14472198486328,125,1.0,E,Europe/Berlin,airport,5954
Salzgitter-Drütte Airport,Salzgitter,Germany,\N,EDVS,52.15444564819336,10.42666721343994,328,1.0,E,Europe/Berlin,airport,5955
Karlshöfen Airport,Karlshoefen,Germany,\N,EDWK,53.33277893066406,9.028332710266112,20,1.0,E,Europe/Berlin,airport,5956
Oldenburg-Hatten Airfield,Oldenburg,Germany,\N,EDWH,53.06889,8.313611,26,1.0,E,Europe/Berlin,airport,5957
Rinteln Airport,Rinteln,Germany,\N,EDVR,52.17527770996094,9.053333282470703,180,1.0,E,Europe/Berlin,airport,5958
Münster-Telgte Airport,Muenster,Germany,\N,EDLT,51.94444274902344,7.7738890647888175,177,1.0,E,Europe/Berlin,airport,5959
St. Peter-Ording Airport,Sankt Peter-Ording,Germany,PSH,EDXO,54.30888748168945,8.686944007873535,7,1.0,E,Europe/Berlin,airport,5960
Lüchow-Rehbeck Airport,Luechow,Germany,\N,EDHC,53.01610946655274,11.144444465637209,49,1.0,E,Europe/Berlin,airport,5961
Klietz/Scharlibbe Airport,Scharlibbe,Germany,\N,EDCL,52.70944213867188,12.07333278656006,95,1.0,E,Europe/Berlin,airport,5962
Burg Airport,Burg,Germany,\N,EDBG,52.24166870117188,11.85611057281494,174,1.0,E,Europe/Berlin,airport,5963
Crisp County Cordele Airport,Cordele,United States,\N,KCKF,31.98880005,-83.77390289,310,-5.0,A,America/New_York,airport,5964
Ormond Beach Municipal Airport,Ormond Beach,United States,\N,KOMN,29.300600051879886,-81.11360168457031,29,-5.0,A,America/New_York,airport,5965
Bad Neuenahr-Ahrweiler Airfield,Bad Neuenahr,Germany,\N,EDRA,50.557777,7.136389,673,1.0,E,Europe/Berlin,airport,5966
Bad Dürkheim Airport,Bad Duerkheim,Germany,\N,EDRF,49.47305679321289,8.196389198303223,351,1.0,E,Europe/Berlin,airport,5967
Portland Troutdale Airport,Troutdale,United States,TTD,KTTD,45.54940032959001,-122.40100097656,39,-8.0,A,America/Los_Angeles,airport,5968
Portland Hillsboro Airport,Hillsboro,United States,HIO,KHIO,45.540401,-122.949997,208,-8.0,A,America/Los_Angeles,airport,5969
One Police Plaza Heliport,New York,United States,\N,NK39,40.71260070800781,-73.99960327148438,244,-5.0,A,America/New_York,airport,5970
Leverkusen Airport,Leverkusen,Germany,\N,EDKL,51.01527786254883,7.005556106567383,157,1.0,E,Europe/Berlin,airport,5971
Wershofen/Eifel Airfield,Wershofen,Germany,\N,EDRV,50.451389,6.783333,1581,1.0,E,Europe/Berlin,airport,5972
Khost Airport,Khost,Afghanistan,KHT,OAKS,33.3334007263,69.952003479,3756,4.5,N,Asia/Kabul,airport,5973
Namtu Airport,Naypyidaw,Burma,NMT,VYNT,23.083,97.383003,2000,6.5,N,Asia/Rangoon,airport,5974
Bend Municipal Airport,Bend,United States,\N,KBDN,44.09479904,-121.2009964,3460,-8.0,A,America/Los_Angeles,airport,5975
Christmas Valley Airport,Christmas Valley,United States,\N,K62S,43.23649978637695,-120.66600036621094,4317,-8.0,A,America/Los_Angeles,airport,5976
Burns Municipal Airport,Burns,United States,BNO,KBNO,43.5918998718,-118.955001831,4148,-8.0,A,America/Los_Angeles,airport,5977
Prineville Airport,Prineville,United States,PRZ,KS39,44.286998748779,-120.90399932861,3250,-8.0,A,America/Los_Angeles,airport,5978
Red Bluff Municipal Airport,Red Bluff,United States,RBL,KRBL,40.1506996155,-122.251998901,352,-8.0,A,America/Los_Angeles,airport,5979
Marin County Airport - Gnoss Field,Novato,United States,NOT,KDVO,38.143600463867,-122.55599975586,2,-8.0,A,America/Los_Angeles,airport,5980
Lake County Airport,Lakeview,United States,LKV,KLKV,42.1610984802,-120.399002075,4733,-8.0,A,America/Los_Angeles,airport,5981
Tillamook Airport,Tillamook,United States,OTK,KTMK,45.4182014465,-123.814002991,36,-8.0,A,America/Los_Angeles,airport,5982
Ontario Municipal Airport,Ontario,United States,ONO,KONO,44.020500183105,-117.01399993896,2193,-7.0,A,America/Denver,airport,5983
Columbia Gorge Regional the Dalles Municipal Airport,The Dalles,United States,DLS,KDLS,45.6184997559,-121.166999817,247,-8.0,A,America/Los_Angeles,airport,5984
Montgomery County Airpark,Gaithersburg,United States,GAI,KGAI,39.1683006287,-77.1660003662,539,-5.0,A,America/New_York,airport,5985
Sharana Airstrip,Sharona,Afghanistan,OAS,OASA,33.12575,68.83851700000001,7340,4.5,N,Asia/Kabul,airport,5986
Pembroke Airport,Pembroke,Canada,YTA,CYTA,45.86439895629883,-77.25170135498047,529,-5.0,A,America/Toronto,airport,5987
Tsumeb Airport,Tsumeb,Namibia,TSB,FYTM,-19.26189994812,17.732500076294,4353,1.0,U,Africa/Windhoek,airport,5988
Suffield Heliport,Suffield,Canada,YSD,CYSD,50.2667007446289,-111.18299865722656,2525,-7.0,A,America/Edmonton,airport,5989
Blumenau Airport,BLUMENAU,Brazil,BNU,SSBL,-26.83060073852539,-49.09030151367188,60,-3.0,S,America/Sao_Paulo,airport,5990
Bolshoye Gryzlovo Airfield,Stupino,Russia,\N,UUDG,54.785,37.645,797,3.0,N,Europe/Moscow,airport,5991
Charlevoix Municipal Airport,Charelvoix,United States,\N,KCVX,45.3047981262207,-85.2748031616211,669,-5.0,A,America/New_York,airport,5992
Mykines Heliport,Mykines,Faroe Islands,\N,EKMS,62.1021003723,-7.6459197998000015,110,0.0,E,Atlantic/Faeroe,airport,5993
Cornwall Regional Airport,Cornwall,Canada,YCC,CYCC,45.09280014038086,-74.56330108642578,175,-5.0,A,America/Toronto,airport,5994
Seppe Airfield,Bosschenhoofd,Netherlands,\N,EHSE,51.554699,4.5525,30,1.0,E,Europe/Amsterdam,airport,5995
St Stephan Airport,St.Stephan,Switzerland,\N,LSTS,46.49739837646485,7.412569999694824,3304,1.0,E,Europe/Zurich,airport,5996
Zona da Mata Regional Airport,Juiz de Fora,Brazil,IZA,SDZY,-21.5130558014,-43.1730575562,1348,-3.0,S,America/Sao_Paulo,airport,5997
IAR Gimbav Heliport,Brasov,Romania,\N,LRBG,45.686443,25.529058,0,2.0,E,Europe/Bucharest,airport,5998
Flagler Executive Airport,Flagler,United States,\N,KXFL,29.4674,-81.206299,33,-5.0,A,America/New_York,airport,5999
Morrisville Stowe State Airport,Morrisville,United States,MVL,KMVL,44.53459930419999,-72.6139984131,732,-5.0,A,America/New_York,airport,6000
Dallas Executive Airport,Dallas,United States,RBD,KRBD,32.6809005737,-96.8682022095,660,-6.0,A,America/Chicago,airport,6001
Como (Idroscalo - Water Ad) Hidroport,Como,Italy,\N,LILY,45.814701,9.06972,663,1.0,E,Europe/Rome,airport,6002
Krainiy Airport,Baikonur,Kazakhstan,BXY,UAOL,45.621994,63.210773,317,6.0,U,Asia/Qyzylorda,airport,6003
Westerly State Airport,Washington County,United States,WST,KWST,41.3496017456,-71.80339813229999,81,-5.0,A,America/New_York,airport,6004
Block Island State Airport,Block Island,United States,BID,KBID,41.1680984497,-71.577796936,108,-5.0,A,America/New_York,airport,6005
Nightmute Airport,Nightmute,United States,NME,PAGT,60.471000671387,-164.70100402832,4,-9.0,A,America/Anchorage,airport,6006
Toksook Bay Airport,Toksook Bay,United States,OOK,PAOO,60.54140091,-165.0870056,59,-9.0,A,America/Anchorage,airport,6007
Ittoqqortoormiit Heliport,Ittoqqortoormiit,Greenland,OBY,BGSC,70.4882288244,-21.9716799259,238,-1.0,U,America/Scoresbysund,airport,6008
Vinnytsia/Gavyryshivka Airport,Vinnitsa,Ukraine,VIN,UKWW,49.242531,28.613778000000003,961,2.0,E,Europe/Kiev,airport,6009
Decatur County Industrial Air Park,Bainbridge,United States,BGE,KBGE,30.9715004,-84.63739777,141,-5.0,A,America/New_York,airport,6010
La Romaine Airport,La Romaine,Canada,ZGS,CTT5,50.259701,-60.679401,90,-4.0,A,America/Blanc-Sablon,airport,6011
Kegaska Airport,Kegaska,Canada,ZKG,CTK6,50.1958007812,-61.2658004761,32,-4.0,A,America/Blanc-Sablon,airport,6012
Black Tickle Airport,Black Tickle,Canada,YBI,CCE4,53.469398498500006,-55.7849998474,57,-4.0,A,America/Halifax,airport,6013
Silver Springs Airport,Silver Springs,United States,\N,KSPZ,39.40299987792969,-119.2509994506836,4269,-8.0,A,America/Los_Angeles,airport,6014
Whiteman Airport,Los Angeles,United States,WHP,KWHP,34.2593002319,-118.413002014,1003,-8.0,A,America/Los_Angeles,airport,6015
Madera Municipal Airport,Madera,United States,MAE,KMAE,36.9886016846,-120.111999512,255,-8.0,A,America/Los_Angeles,airport,6016
Trail Airport,Trail,Canada,YZZ,CAD4,49.0555992126,-117.60900116,1427,-8.0,A,America/Vancouver,airport,6017
Victoria Airport,Patricia Bay,Canada,\N,CAP5,48.65389205060001,-123.450450897,0,-8.0,A,America/Vancouver,airport,6018
Old Arctic Bay Airport,Arctic Bay,Canada,YAB,CJX7,73.0058922479,-85.0325489044,100,-6.0,A,America/Winnipeg,airport,6019
Birchwood Airport,Belmopan,Belize,\N,PABV,61.41650009,-149.5070038,83,-9.0,U,America/Anchorage,airport,6020
Grand-Santi Airport,Grand-Santi,French Guiana,GSI,SOGS,4.285833,-54.373056000000005,207,-3.0,S,America/Cayenne,airport,6021
Maripasoula Airport,Maripasoula,French Guiana,MPY,SOOA,3.6575,-54.037201,406,-3.0,S,America/Cayenne,airport,6022
Saint-Laurent-du-Maroni Airport,Saint-Laurent-du-Maroni,French Guiana,LDX,SOOM,5.48306,-54.034401,16,-3.0,S,America/Cayenne,airport,6023
Kanas Airport,Burqin,China,KJI,ZWKN,48.2223,86.9959,3921,8.0,U,Asia/Shanghai,airport,6024
Capurganá Airport,Capurgana,Colombia,CPB,SKCA,8.63333,-77.35,49,-5.0,S,America/Bogota,airport,6025
