,,,,,,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,# of TRUE,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",,,,,,,,,,,,,,,,,,
Last updated: 2023-02-07,,,,, Quick Manual Check (enter values in yellow cells) ,B,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,120,55.00,,,,,25.00,12.00,,,,,,,,,,,,,,,,,,
Data not verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, Equations for TDG hidden columns J to R--> ,,,,,,,,,, <-- Equations for TDG hidden columns J to R ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,From IACO,From TFMSC,,,,,,,,,,,,,
Date Completed,Manufacturer,ICAO Code,Model,Physical Class (Engine),# Engines,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,Only one TRUE?,"Approach Speed, Vref
(Vref = 1.3 * Vso)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Config,Wake Category,ATCT Weight Class,Years Manufactured,Note,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC80,680-W Turbo Commander,Turboprop,2,B,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,98,44.06,no winglets,42.98,14.50,16.71,16.71,12.92,"9,400","9,450",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC80,681 Hawk Commander,Turboprop,2,B,I,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,100,46.55,no winglets,44.35,14.95,17.79,17.79,15.42,"9,400","9,450",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC6L,685 Commander,Piston,2,B,I,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,98,44.08,no winglets,43.00,15.00,17.79,17.79,15.42,"9,000","9,050",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC90,690/690-A Twin Commander,Turboprop,2,B,I,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,100,46.55,no winglets,44.35,14.95,17.79,17.79,15.42,"10,250","10,300",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC90,690-B Twin Commander,Turboprop,2,B,I,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,100,46.55,no winglets,44.35,14.95,17.79,17.79,15.42,"10,325","10,375",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC90,690-C JetProp 840,Turboprop,2,B,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,98,52.12,small winglets,42.98,14.95,17.79,17.79,15.42,"10,325","10,375",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC90,690-D JetProp 900,Turboprop,2,B,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,100,52.12,small winglets,42.98,14.95,17.79,17.79,15.42,"10,700","10,775",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-19,Aero Commander Aircraft,AC90,695 JetProp 900 (the 840 with 733 shp),Turboprop,2,B,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,98,52.12,small winglets,42.98,14.95,17.79,17.79,15.42,"10,325","10,375",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-19,Aero Commander Aircraft,AC95,695-A JetProp Commanger 1000,Turboprop,2,B,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,100,52.12,no winglets,42.98,14.95,17.79,17.79,15.42,"11,200","11,250",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-19,Aero Commander Aircraft,AC95,695-B JetProp Commanger 1000,Turboprop,2,B,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,100,52.12,no winglets,42.98,14.95,17.79,17.79,15.42,"11,750","11,800",S,L,tbd,tbd,,,,,,,,,,,,
,Aero Commander Aircraft,AC72,720 Alti Cruiser,Piston,2,A,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,81,51.71,no winglets,,,17.79,17.79,15.42,"7,500","7,500",S,L,tbd,tbd,"first flew 1957, first pressurized Aero C, only 13 made.  Same WS as 560-E.",,,,,,,,,,,
2018-Jul-3,Aero Commander Aircraft,CLB1,A-9 Quail Commander (A9B-M),Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,60,34.75,no winglets,24.00,7.67,tbd,tbd,tbd,"3,800","3,800",S,L,tbd,tbd,n/a,,,,,,,,,,,
,Aero Commander Aircraft,A9,A-9 Sparrow Commanger,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,n/a,,,,,,,,,,,
,Aero Commander Aircraft,VO10,Commander 100,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,n/a,,,,,,,,,,,
,Aero Commander Aircraft,M200,Commander 200,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,n/a,,,,,,,,,,,
,Aero Commander Aircraft,SS2P,S-2 Ag Commander,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,n/a,,,,,,,,,,,
2017-Sep-18,Aero Spacelines,SGUP,B-377-SG/SGT Super Guppy,Turboprop,4,C,IV,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,130,156.25,no winglets,143.83,48.50,tbd,tbd,tbd,"170,000",same as MTOW?,D,L,tbd,tbd,,,,,,,,,,,,
2018-Jan-10,Aero Vodochody,AE45,"Aero 45, Aero 145",Piston,2,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,78,46.21,no winglets,25.50,7.50,tbd,tbd,tbd,"3,527",same as MTOW?,S,L,tbd,tbd,,,,,,,,,,,,
,Aero Vodochody,A270,Aero Ae-270 Ibis,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Aero Vodochody,L159,Aero L-159 Albatros 2,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
2018-Jan-10,Aero Vodochody,L159,Aero L-159 Alca (L-159A),Jet,1,C,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,130,31.29,tip tanks,41.73,16.00,20.00,20.00,10.00,"17,637",same as MTOW?,S,M,tbd,tbd,,,,,,,,,,,,
2018-Jan-10,Aero Vodochody,L29,Aero L-29 Delfin,Jet,1,B,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,92,33.75,tip tanks,35.46,10.25,20.00,20.00,10.00,"7,804",same as MTOW?,S,L,tbd,tbd,,,,,,,,,,,,
2018-Jan-10,Aero Vodochody,L39,Aero L-39 Albatros (L-39C),Jet,1,B,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,109,31.04,tip tanks,39.79,15.65,20.00,20.00,10.00,"10,362",same as MTOW?,S,L,tbd,tbd,,,,,,,,,,,,
2018-Jan-10,Aero Vodochody,L59,Aero L-59 Super Albatros (L-59E),Jet,1,C,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,130,31.29,tip tanks,40.02,15.65,20.00,20.00,10.00,"15,432",same as MTOW?,S,L,tbd,tbd,,,,,,,,,,,,
2018-Jan-10,Aero Vodochody,L60,Aero L-60 Brigadyr,Piston,1,A,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,36,45.79,no winglets,28.00,8.92,20.00,20.00,10.00,"3,439",same as MTOW?,S,L,tbd,tbd,,,,,,,,,,,,
,Aero Vodochody,MG15,S-102,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Aero Vodochody,MG15,S-103,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
2018-Jan-10,Aeromere,tbd,F8L Falco (Laberda Super Falco Series IV),Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,69,26.25,no winglets,21.33,7.50,tbd,tbd,tbd,"1,808","1,808",S,,tbd,tbd,,,,,,,,,,,,
2018-May-29,Aeronca,AR11,11 Chief,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,49,36.00,no winglets,20.83,6.83,tbd,tbd,tbd,"1,250","1,250",S,L,Small Eqpt,tbd,,,,,,,,,,,,
2018-May-29,Aeronca,AR15,15 Sedan,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,60,37.50,no winglets,25.25,10.33,tbd,tbd,tbd,"2,050","2,050",S,L,Small Eqpt,tbd,,,,,,,,,,,,
2018-Feb-22,Aeronca,CH7A,"7AC Champion (""Champ"")",Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,43,35.00,no winglets,21.50,7.00,tbd,tbd,tbd,"1,320","1,320",S,L,Small Eqpt,tbd,,,,,,,,,,,,
2018-Feb-22,Aeronca,tbd,7EC Traveler,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,43,35.00,no winglets,21.50,7.00,tbd,tbd,tbd,"1,450","1,450",S,,Small Eqpt,tbd,,,,,,,,,,,,
2018-Apr-11,Aeroprogress Inc.,tbd,T-411 Wolverine,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,46,41.33,no winglets,30.71,8.50,tbd,tbd,tbd,"4,400",same as MTOW?,S,L,tbd,tbd,,,,,,,,,,,,
2017-Sep-18,Aerospatiale,N262,Nord 262A,Jet,2,A,II,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,90,71.83,no winglets,63.25,20.33,tbd,tbd,tbd,"22,710",same as MTOW?,S,,tbd,tbd,,,,,,,,,,,,
2017-Sep-18,Aerospatiale,S601,SN 601 Corvette,Jet,2,B,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,118,42.21,tip tanks,45.38,13.88,tbd,tbd,tbd,"14,550",same as MTOW?,S,,tbd,tbd,,,,,,,,,,,,
2017-Sep-18,Aerospatiale (Sud Aviation),S210,SE 210 Caravelle III,Jet,2,C,III,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,127,112.50,no winglets,101.70,28.61,tbd,tbd,tbd,"123,460",same as MTOW?,2D,,tbd,tbd,,,,,,,,,,,,
